y1,y2,y3,y4,fidelity,mse,parameters,,,,,,,,,,,,
0.14601368897436100,0.6976209584330600,0.6976209584330600,0.07300684448718070,1.0,0.028771492681719200,[ 1.4708411   2.82818846  0.36339306 -0.49507063],,,,,,,,,,,,
0.7169574460958400,0.40219564049278800,0.03497353395589460,0.568319926783288,0.99609375,0.017801648773437100,[0.91377059 0.39088927 1.01680088 0.45029544],,,,,,,,,,,,
0.613553945638983,0.030677697281949200,0.7592730077282420,0.21474388097364400,1.0,0.009949513735955210,[0.2949176  0.98544285 0.17233272 0.79796194],,,,,,,,,,,,
0.5989769942353000,0.17498204325975000,0.39707463662789500,0.6730078586913480,0.998046875,0.04451840430322310,[0.84833246 0.6141402  0.87686489 1.02314562],,,,,,,,,,,,
0.07387798506638410,0.2862771921322380,0.2770424439989400,0.9142400651965030,0.998046875,0.009329241236352090,[2.15102422 1.65773216 0.41783932 1.00706514],,,,,,,,,,,,
0.6360483186617120,0.7450851732894340,0.19990090015082400,0.01817280910462040,1.0,0.032393529550394100,[-0.30771564  0.29944974  1.72773568  0.00525306],,,,,,,,,,,,
0.3602652528751220,0.6805010332085640,0.19214146820006500,0.6084479826335400,0.9921875,0.10294418236422600,[ 0.21270015  1.47120503  2.0364305  -0.2026287 ],,,,,,,,,,,,
0.9162154149771210,0.3798941964539280,0.07821351103463230,0.10056022847309900,1.0,0.03853109929580170,[ 0.11938673  0.70508874  0.63994169 -0.48857165],,,,,,,,,,,,
0.32107548299407000,0.32107548299407000,0.8907255334674210,0.020714547289940000,0.998046875,0.042702432696107300,[ 1.03122061  2.39135221 -0.47343892  0.26482347],,,,,,,,,,,,
0.5582768021144910,0.6037179371703220,0.5582768021144910,0.11035704227844600,0.99609375,0.051834685172215900,[-0.6036368   0.62622762  1.61562691  0.43168406],,,,,,,,,,,,
0.8065949928844100,0.20844589703754400,0.018125730177177700,0.5528347704039210,0.99609375,0.14278014607468800,[1.20497045 0.18651473 0.88824845 0.56806302],,,,,,,,,,,,
0.14325558106324500,0.5620026641711930,0.7493368855615910,0.31957014237185500,1.0,0.017447850043214200,[1.24708536 2.5079435  0.22233972 0.16072264],,,,,,,,,,,,
0.255608593705383,0.7242243488319190,0.6390214842634580,0.0426014322842305,0.94140625,0.10216729389615200,[ 1.06681556  2.44698078  0.8251695  -0.66882972],,,,,,,,,,,,
0.5998183048873510,0.08952512013244050,0.6445808649535720,0.4655306246886910,0.9921875,0.06297237288405650,[0.56318219 0.67646082 0.4740785  0.9840702 ],,,,,,,,,,,,
0.6713962542824570,0.687973939573382,0.27353180730026000,0.03315537058184970,0.97265625,0.19712678659277700,[-0.1470463   1.18500143  1.42724178 -0.73006313],,,,,,,,,,,,
0.8891874999995190,0.2301426470586990,0.24060367647045800,0.3138308823527720,1.0,0.046133727091369300,[0.35832719 0.10724379 0.58595265 0.51963509],,,,,,,,,,,,
0.4830482847693420,0.22486730497883100,0.14991153665255400,0.8328418702919680,1.0,0.04366194358832660,[1.44319898 0.69699607 0.89463598 0.78011613],,,,,,,,,,,,
0.25718999332277100,0.29393142094030900,0.9185356904384660,0.06123571269589770,0.87890625,0.17323221197653100,[0.06600705 1.43091293 0.04348256 1.48275926],,,,,,,,,,,,
0.5617186733439610,0.4721693196224600,0.48845102029909600,0.4721693196224600,0.9921875,0.09459014278230980,[0.46644595 1.02041183 0.97988338 0.3923082 ],,,,,,,,,,,,
0.288508222100607,0.4568046849926280,0.8414823144601040,0.0,1.0,0.021555004773808400,[-1.14567958  0.58279571  1.2044807   1.28747052],,,,,,,,,,,,
0.6281137984298430,0.08858015106061890,0.7730631365290370,0.0,1.0,0.022217072690493200,[-0.10134415 -0.00949333  0.17278601  1.81051476],,,,,,,,,,,,
0.08292884288627290,0.5212670124280010,0.7819005186420020,0.33171537154509200,0.998046875,0.02341784944957890,[ 0.93682013  2.84503738  0.75206306 -0.27755625],,,,,,,,,,,,
0.42211588240886900,0.16080605044147400,0.22110831935702700,0.8643325211229220,1.0,0.04108180072365990,[1.35453344 0.9147345  1.07057676 1.13806102],,,,,,,,,,,,
0.13486899530238900,0.6535959003115770,0.2386143763042270,0.7054685908124960,0.982421875,0.0995626786148345,[0.27119306 1.76742455 2.5285853  0.02099811],,,,,,,,,,,,
0.16660954012971300,0.8700720428996120,0.22214605350628400,0.4072677647615200,0.998046875,0.033260600131427100,[-0.37050253  0.50060383  2.84897918  0.35834801],,,,,,,,,,,,
0.33851940997405200,0.17438878695633000,0.7078133117639270,0.5949735084392430,0.994140625,0.04712351482142710,[0.6693527  1.20711901 0.63093468 1.19790517],,,,,,,,,,,,
0.5887968752416450,0.10093660718428200,0.17663906257249400,0.782258705678186,0.998046875,0.03592531793736970,[1.54535508 0.47703782 0.72626431 0.89506123],,,,,,,,,,,,
0.33597529423259100,0.17208490680205900,0.7457012628089220,0.5490327978922830,1.0,0.026927709087081900,[0.50084221 1.24808873 0.76997387 1.08022057],,,,,,,,,,,,
0.7295190043087880,0.0948374705601424,0.5106633030161510,0.44500659262836000,1.0,0.024554053700241400,[0.67867309 0.56631116 0.33010305 0.76366497],,,,,,,,,,,,
0.7301286316101320,0.572059546416186,0.12043358871919700,0.3537736668626410,0.994140625,0.0605886362579139,[ 0.65568613  0.69962222  0.91735564 -0.24745999],,,,,,,,,,,,
